1.4324,1.4828,1.4402,1.4396,1.4054,1.4727,1.4757,1.4675,1.4889,1.4573,1.422,1.4954,1.4504,1.4681,1.4468,1.4585,1.4933,1.3989,1.4694,1.445,1.4514,1.5999,1.4679,1.4942,1.4826,1.4179,1.5317,1.4851,1.4331,1.4558,1.447,1.4606,1.4987,1.5491,1.4643,1.557,1.5025,1.477,1.4134,1.4712,1.4111,1.5003,1.5931,1.4605,1.4736,1.4971,2.2179,1.6937,3.5298,1.4825,1.4603,1.4859,1.4717,1.5176,1.4833,1.4481,1.4453,1.4003,1.4537,1.4356,1.4256,1.4543,1.4694,1.4679
1.5746,6.553,4.9337,3.9503,4.98,5.4886,4.768,4.5424,3.8427,5.5243,5.72,1.6313,1.707,1.6421,2.0025,1.6999,2.0092,1.5724,2.0586,7.1067,1.9384,5.7208,1.9737,2.4927,1.7383,5.9853,3.038,3.18,1.6621,2.034,2.4275,1.8669,1.9844,2.0687,1.9566,6.7029,3.333,4.2324,5.9978,2.0213,1.5447,1.7777,1.722,1.5729,3.8731,4.194,5.2316,4.3253,3.5172,5.1479,3.8363,5.8405,4.2483,5.0624,1.8261,1.7067,1.5707,1.5654,1.7762,1.6974,1.7801,1.6809,1.7165,1.9696
1.8506,5.1182,4.3929,4.4272,5.3118,3.2136,3.5203,4.1429,3.1274,3.3814,4.769,1.9505,1.9153,1.9814,2.0485,1.8916,2.1302,1.9227,2.0753,8.2129,1.9324,5.7542,2.0234,2.1206,1.9744,4.094,5.9987,3.5474,1.9319,1.9077,1.9296,2.0694,1.9433,1.965,1.9111,3.9936,5.2129,5.7964,5.8804,1.9108,1.8779,2.0052,2.0028,1.9525,7.8405,7.1301,7.0944,6.7687,7.6687,7.3035,7.4799,7.3947,7.3341,7.4358,1.9348,1.9164,1.8707,1.8256,1.9136,1.8712,1.9033,1.8902,1.9329,1.9453
1.8743,5.7368,6.538,5.4503,6.4434,5.5787,6.125,6.9816,6.4384,6.2813,6.1167,2.1299,1.9056,2.1684,2.0729,2.0206,1.988,1.8718,2.1796,4.7155,2.0758,5.3647,2.1718,2.1244,3.7101,4.5599,6.2308,2.2164,2.1086,2.1585,2.0509,2.0958,2.0546,2.1838,2.1571,4.8983,7.0014,7.953,4.2068,2.1373,2.078,2.1801,2.2645,1.9186,9.7313,8.6325,7.4892,9.369,8.4943,8.6249,8.6875,9.0325,9.2426,8.8661,2.183,2.0908,2.0697,2.0671,2.147,2.0689,1.8486,2.137,2.094,2.1553
1.9303,2.0112,1.8828,1.9163,1.8815,1.9823,1.9755,1.9784,2.008,1.947,1.8919,2.0146,1.9617,1.9712,1.94,1.9538,2.0445,1.932,1.9713,1.912,1.9421,6.8093,2.0581,2.0423,2.0039,7.0699,4.5011,2.2543,2.0151,1.9531,2.362,1.9607,2.0634,2.0328,2.4211,5.5793,6.7293,2.9626,6.3722,1.9559,1.8777,2.041,2.4913,1.9736,1.9613,1.9862,1.9025,2.0429,1.9501,1.9827,1.9311,1.957,1.9752,1.9921,1.9851,1.9601,1.934,1.8679,1.9482,1.8673,1.8999,1.9371,1.9741,1.9562
1.9528,2.0301,1.9171,1.9433,2.0048,2.0012,2.0019,1.998,2.0328,1.966,1.9492,2.8458,3.6765,3.4344,2.2639,2.3855,3.5355,4.1764,1.9938,1.9874,2.0347,2.0158,1.9884,2.0535,2.0227,1.9222,2.0341,2.0283,1.9282,1.9818,1.9622,1.9816,2.0079,2.0133,1.9811,2.0371,2.0539,2.0118,1.8421,1.9773,1.9403,2.0729,2.0448,1.8628,1.9845,2.0018,1.9197,2.0449,1.9678,2.0015,1.9491,2.0015,1.9951,1.869,2.0606,2.214,2.2348,1.9001,1.9736,2.266,2.3732,1.9701,2.0014,1.9923
1.9539,1.984,1.9165,1.9182,1.9123,1.963,1.9569,1.9605,1.9848,1.9293,1.9028,2.0227,2.2783,1.9864,2.5124,1.9559,2.0179,2.186,2.2386,1.9074,2.7113,1.9787,1.9513,2.0283,5.4739,1.882,1.9902,1.987,2.2132,1.947,4.1281,1.9745,1.9742,3.7483,5.6094,1.9809,2.0044,1.9654,1.8068,4.5164,1.9449,5.4199,2.014,5.8871,1.9515,1.969,1.9113,2.0119,1.9459,1.9628,1.925,1.9487,1.9747,1.973,4.3542,2.4811,4.3025,3.5451,3.3175,4.0692,2.2824,3.0595,3.2789,3.7209
1.987,2.0385,1.8969,1.9748,1.8976,2.0117,2.0044,2.1755,2.0471,1.9767,1.8998,4.0565,4.0379,2.8325,3.4895,1.9984,2.4096,3.3654,1.9812,1.907,1.9685,2.0283,2.0005,2.0299,3.9406,1.8964,2.0348,2.0121,1.9498,1.9478,1.9259,1.9557,2.0116,1.9816,1.9844,2.048,1.9827,2.0059,1.8472,1.9812,1.8829,2.3485,2.0379,2.8817,1.9455,1.9619,1.9126,2.0962,1.9768,2.0112,1.9454,1.9444,1.9677,1.9682,4.7957,5.5501,5.4691,5.1056,5.8633,4.498,5.6541,5.0023,5.4509,4.4025
1.9904,6.3207,6.5486,5.9815,5.9137,4.9976,5.1079,4.5955,4.809,5.5815,5.9443,2.1477,2.0249,2.0411,2.2804,2.3861,2.1207,2.3533,2.4005,6.288,2.0024,2.4452,2.0355,2.1081,2.221,4.7663,7.1018,2.0748,1.9649,2.1863,1.9946,2.0122,2.0541,2.0656,2.3496,2.4385,6.7853,8.3491,4.7495,2.0149,3.5622,2.1295,2.1227,2.0381,8.536,7.7759,8.5131,7.9871,8.6655,8.0033,8.4145,7.9764,7.3002,8.2838,2.0457,2.0213,1.9897,1.9257,2.0059,1.9756,2.164,1.9319,2.0442,2.0124
2.0075,2.0975,1.9655,1.9934,1.9575,2.0616,2.0755,2.0612,2.0937,2.0273,1.9739,2.0879,2.0411,2.0503,2.0131,2.03,2.1366,2.0038,2.0471,1.9837,2.0209,2.0742,2.0471,2.1105,2.0832,1.9622,2.0866,2.0849,1.9811,2.0319,2.0257,2.0298,2.0642,2.073,2.0345,2.0911,2.1084,2.0666,1.8917,2.0346,1.9467,2.1398,2.1332,2.0555,2.0374,2.0658,1.9783,2.1339,2.0284,2.0596,2.0062,2.0308,2.0569,2.0638,2.0645,2.0373,2.0071,1.9359,2.0233,1.9944,1.9687,2.0124,2.0536,2.0308
